COMPANY_NAME,SHIP_ID,SHIP_NAME,ASSET_FAMILY,ASSET_CODE,RECORD_TYPE,IS_COMBINED_ASSET,RECORD_TIMESTAMP_TIMEZONE,TIMEZONE_RESOLUTION,INGESTED_UTC,SENDER_EMAIL,SENDER_DOMAIN,MESSAGE_ID,INTERNET_MESSAGE_ID,SOURCE_ZIP_NAME,SOURCE_DATA_FOLDER,SOURCE_FILE_NAME,RECORD_TIMESTAMP_LOCAL,RECORD_TIMESTAMP_UTC,RECORD_DATE_LOCAL,RECORD_DATE_UTC,TIMESTAMP_RAW,SWP_PT,SW_TT,ME_LO_OUT,ME_AIR_CLR,JC_FW_TT,AUX_CFW,RPM,RUN_HRS_C,RUN_HRS,KWH,KW_AVG,KWH_SAVE,VFD_ON,DOL_ON,AUTO_MODE,FUEL_SAVE,TREE_SAVE,CO2_SAVE,USD_SAVE,PARSE_STATUS,VALIDATION_STATUS,VALIDATION_FLAGS,ROW_HASH
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-01 11:56:55+00:00,2026-04-01 11:56:55+00:00,01-04-2026,01-04-2026,01-04-2026 11:56,12.4,2.1,32.7,34.2,-50,27,1452,8853,24,312994,25.8,605,1,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,7686dc07f358d964bdc255b85d62783e90394c37e7ea932cbaedb188794a28fd
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-02 11:56:52+00:00,2026-04-02 11:56:52+00:00,02-04-2026,02-04-2026,02-04-2026 11:56,13.7,2.2,30.7,19,-50,26,1453,8877,24,313611,25.7,607,1,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,b44cc6e9a57bebb6c1c613d0b04420a0f9c13148f6c6a7b0add83cf5df172322
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-03 11:56:48+00:00,2026-04-03 11:56:48+00:00,03-04-2026,03-04-2026,03-04-2026 11:56,14.3,2.3,17,16.3,-50,27,1350,8901,24,314095,20.2,740,1,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,cd9eefa3421260b7ffc00c2f7840ad44c2e9a5d75a97cd262455abbabfe74530
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-04 11:56:44+00:00,2026-04-04 11:56:44+00:00,04-04-2026,04-04-2026,04-04-2026 11:56,14.5,1.2,18.6,17.5,-50,16,0,8913,12,314322,18.9,385,0,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,315453ae6e0dce35975d214fca58cfb18ae4fa87c7a85342c6c692c01e4d842f
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-05 11:56:39+00:00,2026-04-05 11:56:39+00:00,05-04-2026,05-04-2026,05-04-2026 11:56,14.1,1,20.3,16.8,-50,18,0,8913,0,314322,0,0,0,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,e031aaebd646672029db3075db4c98ffacd776f13ef4bd6369a8c20d52b188ce
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-06 11:56:35+00:00,2026-04-06 11:56:35+00:00,06-04-2026,06-04-2026,06-04-2026 11:56,15,1.6,21.7,17.9,-50,19,0,8913,0,314322,0,0,0,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,8518938210d1c5eefd8bed62a159e116657d6ca140c2d93d0386737341d8d0e1
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-07 11:56:30+00:00,2026-04-07 11:56:30+00:00,07-04-2026,07-04-2026,07-04-2026 11:56,14.7,1.4,17.9,16.2,-50,16,0,8913,0,314322,0,0,0,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,267f0dd8cc34c7f1cb309719677e3746870e68d135b1d4f578a79f38b4bc30e3
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-08 11:56:26+00:00,2026-04-08 11:56:26+00:00,08-04-2026,08-04-2026,08-04-2026 11:56,14.5,1.6,14.3,17.9,-50,20,0,8913,0,314322,0,0,0,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,3782a07e0295d03b117c62ace2d51e778dc8aa4d673182d604e93e3abb8d96fa
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-09 11:56:21+00:00,2026-04-09 11:56:21+00:00,09-04-2026,09-04-2026,09-04-2026 11:56,11.1,1.6,27.9,18.4,-50,19,0,8913,0,314322,0,0,0,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,b9d378f350f9214720c8a6613567ededb83add61558f649ddeb5ae78c5189a7b
CHELLSHIP,10018,DARYA KRISHNA,SWP,SWP1,NOON,FALSE,GMT 00:00,AMBIGUOUS_DEFAULT_UTC,2026-05-14T11:09:09.128180+00:00,karnarora@outlook.com,outlook.com,AAMkADI5ZjViYzJkLTIyNjMtNGM3Yy04NWU4LWZjMGE3YjljNTEwYQBGAAAAAAAWRkl5wPCRT6x_OrY72NOoBwCsJlkjETTVS65lVxWwJyHiAAAAAAEMAACsJlkjETTVS65lVxWwJyHiAAAuR9aBAAA=,<CH3PR14MB7559AE28878B947E95765B4CA5072@CH3PR14MB7559.namprd14.prod.outlook.com>,DKI_VFD Log April_ 2026.zip,SWP1_NOON,SWP1_NOON_20260331_115658_0003.CSV,2026-04-10 11:56:17+00:00,2026-04-10 11:56:17+00:00,10-04-2026,10-04-2026,10-04-2026 11:56,10.1,1.4,12.1,9.8,-50,18,0,8913,0,314322,0,0,0,0,0,0,0,0,0,SUCCESS,WARN,sensor_saturated:JC_FW_TT=-50.0,c5115413df5edb666634f1748f02d05ddde046ae4600d6401458431d10fc08d9
